strain	accession	continent	country
A/Laos/I929/2015	EPI_ISL_202300	Asia 	Lao
A/Laos/O587/2015	EPI_ISL_202305	Asia 	Lao
A/Laos/SA380/2015	EPI_ISL_202308	Asia 	Lao
A/Laos/SA407/2015	EPI_ISL_210365	Asia 	Lao
A/Lebanon/14L41/2014	EPI_ISL_176847	Asia 	 Lebanon
A/Lebanon/14L45/2014	EPI_ISL_176848	Asia 	 Lebanon
A/Liaoning-Shuangta/1505/2015	EPI_ISL_208628	Asia 	 China
A/Linkou/0166/2016	EPI_ISL_263397	Asia 	 Taiwan
A/Linkou/0168/2016	EPI_ISL_263451	Asia 	 Taiwan
A/Linkou/0175/2016	EPI_ISL_263413	Asia 	 Taiwan
A/Linkou/0185/2016	EPI_ISL_263453	Asia 	 Taiwan
A/Linkou/0187/2016	EPI_ISL_263437	Asia 	 Taiwan
A/MIYAGI/52/2014	EPI_ISL_173080	Asia 	 Japan
A/MIYAZAKI/49/2016	EPI_ISL_248923	Asia 	 Japan
A/Myanmar/14M059/2014	EPI_ISL_173353	Asia 	 Myanmar 
A/Nagasaki/13N063/2014	EPI_ISL_171976	Asia 	 Japan 
A/Nagasaki/13N101/2014	EPI_ISL_173113	Asia 	 Japan 
A/Nagasaki/14N023/2014	EPI_ISL_176331	Asia 	 Japan 
A/Nagasaki/14N024/2015	EPI_ISL_176857	Asia 	 Japan 
A/Nagasaki/14N039/2015	EPI_ISL_176858	Asia 	 Japan 
A/Nakhonphanom/33/2016	EPI_ISL_230288	Asia 	 Thailand
A/Nakhonratchaisma/35/2015	EPI_ISL_197500	Asia 	 Thailand
A/NARA/43/2016	EPI_ISL_248918	Asia 	 Japan
A/NIIGATA-C/39/2016	EPI_ISL_224691	Asia 	 Japan
A/Niigata/14F002/2015	EPI_ISL_176312	Asia 	 Japan 
A/Niigata/14F009/2015	EPI_ISL_176316	Asia 	 Japan 
A/Niigata/14F197/2015	EPI_ISL_176853	Asia 	 Japan 
A/NIIGATA/35/2015	EPI_ISL_173099	Asia 	 Japan
A/Nonthaburi/128/2015	EPI_ISL_211921	Asia 	 Thailand
A/Nonthaburi/333/2015	EPI_ISL_197257	Asia 	 Thailand
A/OITA/7/2016	EPI_ISL_218454	Asia 	 Japan
A/OKAYAMA/2/2015	EPI_ISL_196619	Asia 	 Japan
A/Oman/4554/2016	EPI_ISL_230353	Asia 	 Oman
A/Oman/4909/2016	EPI_ISL_230354	Asia 	 Oman
A/OSAKA-C/2020/2014	EPI_ISL_171879	Asia 	 Japan
A/OSAKA/59/2016	EPI_ISL_240542	Asia 	 Japan
A/Phetchaburi/358/2016	EPI_ISL_249983	Asia 	 Thailand
A/SAITAMA/126/2016	EPI_ISL_248921	Asia 	 Japan
A/SAITAMA/58/2016	EPI_ISL_224693	Asia 	 Japan
A/SAITAMA/96/2014	EPI_ISL_169192	Asia 	 Japan
A/SAPPORO/6/2015	EPI_ISL_177414	Asia 	 Japan
A/Saudi Arabia/06/2014	EPI_ISL_257193	Asia 	 Saudi Arabia
A/Saudi Arabia/16/2015	EPI_ISL_257200	Asia 	 Saudi Arabia
A/Saudi Arabia/18/2015	EPI_ISL_257201	Asia 	 Saudi Arabia
A/Saudi Arabia/27/2015	EPI_ISL_257209	Asia 	 Saudi Arabia
A/SENDAI/72/2014	EPI_ISL_169407	Asia 	 Japan
A/Shanghai-Pudongxin/11809/2015	EPI_ISL_211930	Asia 	 China
A/Shanghai/2/2016	EPI_ISL_302545	Asia 	 China
A/Shanghai/3/2016	EPI_ISL_302549	Asia 	 China
A/Shanghai/5/2016	EPI_ISL_302572	Asia 	 China
A/Shanghai/7/2016	EPI_ISL_302578	Asia 	 China
A/SHIMANE/96/2014	EPI_ISL_169188	Asia 	 Japan
A/Shizuoka/34/2015	EPI_ISL_214007	Asia 	 Japan
A/Singapore/ED0056/2016	EPI_ISL_239306	Asia 	 Singapore
A/Singapore/EN0782/2016	EPI_ISL_239314	Asia 	 Singapore
A/Singapore/EN0965/2016	EPI_ISL_240798	Asia 	 Singapore
A/Singapore/G2-63.1/2014	EPI_ISL_399255	Asia 	 Singapore
A/Singapore/GP1388/2016	EPI_ISL_239115	Asia 	 Singapore
A/Singapore/GP1489/2016	EPI_ISL_239116	Asia 	 Singapore
A/Singapore/GP2174/2016	EPI_ISL_239302	Asia 	 Singapore
A/Singapore/GP2413/2016	EPI_ISL_239316	Asia 	 Singapore
A/Singapore/GP2545/2016	EPI_ISL_240771	Asia 	 Singapore
A/Singapore/GP2610/2016	EPI_ISL_240795	Asia 	 Singapore
A/Singapore/IMH0026/2016	EPI_ISL_239139	Asia 	 Singapore
A/Singapore/INFGP-16-0192/2016	EPI_ISL_225907	Asia 	 Singapore
A/Singapore/INFGP-16-0253/2016	EPI_ISL_225914	Asia 	 Singapore
A/Singapore/INFIMH-16-0020/2016	EPI_ISL_225941	Asia 	 Singapore
A/Singapore/INFKK-16-0294/2016	EPI_ISL_225930	Asia 	 Singapore
A/Singapore/INFTT-16-0042/2016	EPI_ISL_225909	Asia 	 Singapore
A/Singapore/INFTT-16-0138/2016	EPI_ISL_225924	Asia 	 Singapore
A/Singapore/INFTT-16-0143/2016	EPI_ISL_225921	Asia 	 Singapore
A/Singapore/INFTT-16-0478/2016	EPI_ISL_225938	Asia 	 Singapore
A/Singapore/INFTT-16-0603/2016	EPI_ISL_225940	Asia 	 Singapore
A/Singapore/Inftt-16-0612/2016	EPI_ISL_275710	Asia 	 Singapore
A/Singapore/KK0961/2016	EPI_ISL_239312	Asia 	 Singapore
A/Singapore/KK1100/2016	EPI_ISL_240792	Asia 	 Singapore
A/Singapore/KTP0001/2016	EPI_ISL_239125	Asia 	 Singapore
A/Singapore/KTP0005/2016	EPI_ISL_239129	Asia 	 Singapore
A/Singapore/MOH0108/2016	EPI_ISL_239326	Asia 	 Singapore
A/Singapore/MOH0133/2016	EPI_ISL_240769	Asia 	 Singapore
A/Singapore/MOH0135/2016	EPI_ISL_240770	Asia 	 Singapore
A/Singapore/SGH0423/2016	EPI_ISL_239131	Asia 	 Singapore
A/Singapore/SGH0574/2016	EPI_ISL_239291	Asia 	 Singapore
A/Singapore/SGH0723/2016	EPI_ISL_239295	Asia 	 Singapore
A/Singapore/TT0946/2016	EPI_ISL_239137	Asia 	 Singapore
A/Singapore/TT1054/2016	EPI_ISL_239251	Asia 	 Singapore
A/Singapore/TT1183/2016	EPI_ISL_239281	Asia 	 Singapore
A/Singapore/TT1196/2016	EPI_ISL_239282	Asia 	 Singapore
A/Singapore/TT1220/2016	EPI_ISL_239297	Asia 	 Singapore
A/Singapore/TT1235/2016	EPI_ISL_239283	Asia 	 Singapore
A/Singapore/TT1273/2016	EPI_ISL_239284	Asia 	 Singapore
A/Singapore/TT1324/2016	EPI_ISL_240780	Asia 	 Singapore
A/Singapore/TT1329/2016	EPI_ISL_240782	Asia 	 Singapore
A/Singapore/TT1361/2016	EPI_ISL_240788	Asia 	 Singapore
A/Singapore/TT1369/2016	EPI_ISL_240784	Asia 	 Singapore
A/Singapore/TT1374/2016	EPI_ISL_277146	Asia 	 Singapore
A/SRI LANKA/42/2014	EPI_ISL_168921	Asia 	 Sri Lanka
A/Taipei/0092/2016	EPI_ISL_263395	Asia 	 Taiwan
A/Taiwan/1078/2015	EPI_ISL_206148	Asia 	 Taiwan
A/Taiwan/1079/2015	EPI_ISL_210386	Asia 	 Taiwan
A/Taiwan/1086/2015	EPI_ISL_210389	Asia 	 Taiwan
A/Taiwan/1090/2015	EPI_ISL_210390	Asia 	 Taiwan
A/Taiwan/657/2016	EPI_ISL_232515	Asia 	 Taiwan
A/Taiwan/805/2016	EPI_ISL_248311	Asia 	 Taiwan
A/Taiwan/848/2016	EPI_ISL_248309	Asia 	 Taiwan
A/Taiwan/921/2016	EPI_ISL_249949	Asia 	 Taiwan
A/Taiwan/923/2016	EPI_ISL_246746	Asia 	 Taiwan
A/Taiwan/928/2016	EPI_ISL_246747	Asia 	 Taiwan
A/Taiwan/955/2016	EPI_ISL_246749	Asia 	 Taiwan
A/Taiwan/959/2016	EPI_ISL_249953	Asia 	 Taiwan
A/Thailand/CU-B11202/2014	EPI_ISL_205399	Asia 	 Thailand
A/Thailand/CU-C4406/2014	EPI_ISL_205390	Asia 	 Thailand
A/TOKYO/16109/2016	EPI_ISL_225433	Asia 	 Japan
A/TOKYO/41724/2014	EPI_ISL_170446	Asia 	 Japan
A/TOKYO/EH1603/2016	EPI_ISL_239619	Asia 	 Japan
A/TOYAMA/72/2016	EPI_ISL_229785	Asia 	 Japan
A/UTSUNOMIYA/1/2016	EPI_ISL_277428	Asia 	 Japan
A/Vietnam/102/2015	EPI_ISL_215648	Asia 	 Vietnam
A/Vietnam/137/2015	EPI_ISL_215798	Asia 	 Vietnam
A/Vietnam/146/2015	EPI_ISL_213024	Asia 	 Vietnam
A/Vietnam/155/2015	EPI_ISL_220280	Asia 	 Vietnam
A/Vietnam/6017/2016	EPI_ISL_259146	Asia 	 Vietnam
A/Vietnam/GS150287/2015	EPI_ISL_213026	Asia 	 Vietnam
A/Vietnam/GS150761/2015	EPI_ISL_219113	Asia 	 Vietnam
A/WAKAYAMA/136/2016	EPI_ISL_240545	Asia 	 Japan
A/WAKAYAMA/51/2016	EPI_ISL_218456	Asia 	 Japan
A/YAMAGATA/64/2015	EPI_ISL_188627	Asia 	 Japan
A/YAMAGATA/98/2016	EPI_ISL_224700	Asia 	 Japan
A/YAMAGUCHI/34/2016	EPI_ISL_240553	Asia 	 Japan
A/YAMAGUCHI/36/2016	EPI_ISL_240554	Asia 	 Japan
A/Yokohama/120/2016	EPI_ISL_238612	Asia 	 Japan
A/YOKOHAMA/139/2016	EPI_ISL_240549	Asia 	 Japan
A/YOKOHAMA/184/2014	EPI_ISL_171856	Asia 	 Japan
A/Zhejiang-Nanhu/1975/2016	EPI_ISL_255349	Asia 	 China
A/Alsace/3043/2016	EPI_ISL_241797	Europe 	 France 
A/Alsace/3208/2016	EPI_ISL_241815	Europe 	 France 
A/Alsace/541/2016	EPI_ISL_223913	Europe 	 France 
A/Aniva/RII904S/2016	EPI_ISL_242654	Europe 	 Russian Federation 
A/Bari/63/2016	EPI_ISL_224200	Europe 	 Italy 
A/Bretagne/2833/2016	EPI_ISL_237253	Europe 	 France 
A/Bretagne/2834/2016	EPI_ISL_237254	Europe 	 France 
A/Bretagne/2836/2016	EPI_ISL_237256	Europe 	 France 
A/Bretagne/2843/2016	EPI_ISL_237262	Europe 	 France 
A/Bretagne/2935/2016	EPI_ISL_239148	Europe 	 France 
A/Bretagne/2938/2016	EPI_ISL_239149	Europe 	 France 
A/Bretagne/3427/2016	EPI_ISL_241844	Europe 	 France 
A/Bretagne/3575/2016	EPI_ISL_241836	Europe 	 France 
A/Bretagne/452/2017	EPI_ISL_249357	Europe 	 France 
A/Bulgaria/1162/2016	EPI_ISL_244868	Europe 	 Bulgaria
A/CastillaLaMancha/3399/2016	EPI_ISL_242976	Europe 	 Spain 
A/Centre/014/2017	EPI_ISL_249338	Europe 	 France 
A/Ceuta/170026/2016	EPI_ISL_242978	Europe 	 Spain 
A/Chelyabinsk/192/2015	EPI_ISL_200723	Europe 	 Russian Federation
A/Chita/12/2014	EPI_ISL_191051	Europe 	 Russian Federation
A/Chita/14/2014	EPI_ISL_191049	Europe 	 Russian Federation
A/Chita/256/2014	EPI_ISL_175201	Europe 	 Russian Federation
A/Chita/260/2014	EPI_ISL_175203	Europe 	 Russian Federation
A/Chita/262/2014	EPI_ISL_175200	Europe 	 Russian Federation
A/Chita/266/2014	EPI_ISL_175221	Europe 	 Russian Federation
A/Dijon/925/2017	EPI_ISL_253462	Europe 	 France 
A/Dijon/950/2017	EPI_ISL_253464	Europe 	 France 
A/Dnipro/693/2016	EPI_ISL_244901	Europe 	 Ukraine
A/Dnipro/725/2016	EPI_ISL_244904	Europe 	 Ukraine
A/Dnipro/767/2016	EPI_ISL_225050	Europe 	 Ukraine
A/ENG/50100055/2014	EPI_ISL_192214	Europe 	 United Kingdom 
A/ENG/516/2014	EPI_ISL_168782	Europe 	 United Kingdom 
A/England/112/2015	EPI_ISL_186607	Europe 	 United Kingdom 
A/England/113/2015	EPI_ISL_186608	Europe 	 United Kingdom 
A/England/127/2015	EPI_ISL_186606	Europe 	 United Kingdom 
A/England/166/2015	EPI_ISL_186614	Europe 	 United Kingdom 
A/England/385/2015	EPI_ISL_240935	Europe 	 United Kingdom 
A/England/43960141/2014	EPI_ISL_188738	Europe 	 United Kingdom 
A/England/44160198/2014	EPI_ISL_188747	Europe 	 United Kingdom 
A/England/44160201/2014	EPI_ISL_188750	Europe 	 United Kingdom 
A/England/44320792/2014	EPI_ISL_188753	Europe 	 United Kingdom 
A/England/45040065/2014	EPI_ISL_188777	Europe 	 United Kingdom 
A/England/45060049/2014	EPI_ISL_188779	Europe 	 United Kingdom 
A/England/45080199/2014	EPI_ISL_188784	Europe 	 United Kingdom 
A/England/45100189/2014	EPI_ISL_188787	Europe 	 United Kingdom 
A/England/45140001/2014	EPI_ISL_188791	Europe 	 United Kingdom 
A/England/45160088/2014	EPI_ISL_188794	Europe 	 United Kingdom 
A/England/45160092/2014	EPI_ISL_188795	Europe 	 United Kingdom 
A/England/45160094/2014	EPI_ISL_188796	Europe 	 United Kingdom 
A/England/45180220/2014	EPI_ISL_188801	Europe 	 United Kingdom 
A/England/45180226/2014	EPI_ISL_188804	Europe 	 United Kingdom 
A/England/50120074/2014	EPI_ISL_188828	Europe 	 United Kingdom 
A/England/50140086/2014	EPI_ISL_188832	Europe 	 United Kingdom 
A/England/50200115/2014	EPI_ISL_188836	Europe 	 United Kingdom 
A/England/50200119/2014	EPI_ISL_188837	Europe 	 United Kingdom 
A/England/50200132/2014	EPI_ISL_188838	Europe 	 United Kingdom 
A/England/50200187/2015	EPI_ISL_186570	Europe 	 United Kingdom 
A/England/50220076/2015	EPI_ISL_188844	Europe 	 United Kingdom 
A/England/50220895/2015	EPI_ISL_188846	Europe 	 United Kingdom 
A/England/50240248/2015	EPI_ISL_186574	Europe 	 United Kingdom 
A/England/50280041/2015	EPI_ISL_186584	Europe 	 United Kingdom 
A/England/50280054/2015	EPI_ISL_186585	Europe 	 United Kingdom 
A/England/50360027/2015	EPI_ISL_186595	Europe 	 United Kingdom 
A/England/50400282/2015	EPI_ISL_186601	Europe 	 United Kingdom 
A/England/50520248/2015	EPI_ISL_186604	Europe 	 United Kingdom 
A/England/50660120/2015	EPI_ISL_188853	Europe 	 United Kingdom 
A/England/50740149/2015	EPI_ISL_186611	Europe 	 United Kingdom 
A/England/50880445/2015	EPI_ISL_188855	Europe 	 United Kingdom 
A/England/511/2014	EPI_ISL_188749	Europe 	 United Kingdom 
A/England/51200124/2015	EPI_ISL_188860	Europe 	 United Kingdom 
A/England/530/2014	EPI_ISL_188769	Europe 	 United Kingdom 
A/England/533/2014	EPI_ISL_188775	Europe 	 United Kingdom 
A/England/536/2014	EPI_ISL_188780	Europe 	 United Kingdom 
A/England/54380710/2015	EPI_ISL_203379	Europe 	 United Kingdom 
A/England/544/2014	EPI_ISL_188802	Europe 	 United Kingdom 
A/England/545/2014	EPI_ISL_188803	Europe 	 United Kingdom 
A/England/556/2014	EPI_ISL_188813	Europe 	 United Kingdom 
A/England/599/2014	EPI_ISL_186567	Europe 	 United Kingdom 
A/England/601/2014	EPI_ISL_188797	Europe 	 United Kingdom 
A/England/603/2014	EPI_ISL_188819	Europe 	 United Kingdom 
A/England/61380273/2016	EPI_ISL_241294	Europe 	 United Kingdom 
A/England/61480680/2016	EPI_ISL_241301	Europe 	 United Kingdom 
A/England/61820159/2016	EPI_ISL_241320	Europe 	 United Kingdom 
A/England/62440426/2016	EPI_ISL_233005	Europe 	 United Kingdom 
A/England/64060217/2016	EPI_ISL_248482	Europe 	 United Kingdom 
A/England/64380522/2016	EPI_ISL_248484	Europe 	 United Kingdom 
A/England/64760678/2016	EPI_ISL_269789	Europe 	 United Kingdom 
A/England/64900713/2016	EPI_ISL_248492	Europe 	 United Kingdom 
A/England/64920038/2016	EPI_ISL_270425	Europe 	 United Kingdom 
A/England/64940741/2016	EPI_ISL_248494	Europe 	 United Kingdom 
A/England/64960381/2016	EPI_ISL_248497	Europe 	 United Kingdom 
A/England/64980276/2016	EPI_ISL_248498	Europe 	 United Kingdom 
A/England/64980539/2016	EPI_ISL_248499	Europe 	 United Kingdom 
A/England/64980541/2016	EPI_ISL_269793	Europe 	 United Kingdom 
A/England/65000030/2016	EPI_ISL_269795	Europe 	 United Kingdom 
A/England/65020045/2016	EPI_ISL_248503	Europe 	 United Kingdom 
A/England/65020622/2016	EPI_ISL_248505	Europe 	 United Kingdom 
A/England/65040076/2016	EPI_ISL_248506	Europe 	 United Kingdom 
A/England/65040087/2016	EPI_ISL_269798	Europe 	 United Kingdom 
A/England/65040827/2016	EPI_ISL_248508	Europe 	 United Kingdom 
A/England/65060420/2016	EPI_ISL_248511	Europe 	 United Kingdom 
A/England/65080393/2016	EPI_ISL_270433	Europe 	 United Kingdom 
A/England/65180259/2016	EPI_ISL_270446	Europe 	 United Kingdom 
A/England/65180266/2016	EPI_ISL_248523	Europe 	 United Kingdom 
A/England/65180303/2016	EPI_ISL_270448	Europe 	 United Kingdom 
A/England/65240016/2016	EPI_ISL_270449	Europe 	 United Kingdom 
A/England/65260859/2016	EPI_ISL_270453	Europe 	 United Kingdom 
A/England/65260877/2016	EPI_ISL_269809	Europe 	 United Kingdom 
A/England/65260883/2016	EPI_ISL_248528	Europe 	 United Kingdom 
A/England/65260886/2016	EPI_ISL_269810	Europe 	 United Kingdom 
A/England/65280003/2016	EPI_ISL_269811	Europe 	 United Kingdom 
A/England/65280022/2016	EPI_ISL_269813	Europe 	 United Kingdom 
A/England/65280699/2016	EPI_ISL_248573	Europe 	 United Kingdom 
A/England/70120030/2016	EPI_ISL_248535	Europe 	 United Kingdom 
A/England/70120293/2016	EPI_ISL_269816	Europe 	 United Kingdom 
A/England/70120299/2016	EPI_ISL_269818	Europe 	 United Kingdom 
A/England/70120322/2016	EPI_ISL_248538	Europe 	 United Kingdom 
A/England/70140008/2016	EPI_ISL_248539	Europe 	 United Kingdom 
A/England/70160650/2016	EPI_ISL_269822	Europe 	 United Kingdom 
A/England/70180218/2016	EPI_ISL_269826	Europe 	 United Kingdom 
A/England/72/2015	EPI_ISL_186599	Europe 	 United Kingdom 
A/England/77/2015	EPI_ISL_188851	Europe 	 United Kingdom 
A/England/965/2016	EPI_ISL_248490	Europe 	 United Kingdom 
A/England/971/2016	EPI_ISL_270444	Europe 	 United Kingdom 
A/Franche_Comte/2323/2016	EPI_ISL_223920	Europe 	 France 
A/Franche_Comte/3412/2016	EPI_ISL_241819	Europe 	 France 
A/Giessen/2176/2015	EPI_ISL_192108	Europe 	 Germany 
A/Grenoble/2067/2016	EPI_ISL_331657	Europe 	 France
A/Grenoble/552/2017	EPI_ISL_331659	Europe 	 France
A/Irkutsk/88/2015	EPI_ISL_205177	Europe 	 Russian Federation
A/Irkutsk/RII485S/2016	EPI_ISL_242621	Europe 	 Russian Federation 
A/Italy/FVG-89/2015	EPI_ISL_195852	Europe 	 Italy
A/Khabarovsk/06/2015	EPI_ISL_191054	Europe 	 Russian Federation
A/Khmelnitsky/1964/2016	EPI_ISL_247970	Europe 	 Ukraine
A/Khmelnitsky/2059/2016	EPI_ISL_247972	Europe 	 Ukraine
A/Khmelnitsky/2488/2016	EPI_ISL_247978	Europe 	 Ukraine
A/Khmelnitsky/674/2016	EPI_ISL_230312	Europe 	 Ukraine
A/Kristianstad/1/2016	EPI_ISL_235390	Europe 	 Sweden 
A/Kungalv/1/2015	EPI_ISL_205784	Europe 	 Sweden 
A/Kungalv/1/2016	EPI_ISL_237508	Europe 	 Sweden 
A/Kyiv/568/2016	EPI_ISL_225040	Europe 	 Ukraine
A/Kyiv/848/2016	EPI_ISL_259134	Europe 	 Ukraine
A/Kyiv/883/2016	EPI_ISL_244725	Europe 	 Ukraine
A/Kyiv/891/2016	EPI_ISL_256127	Europe 	 Ukraine
A/Kyiv/915/2016	EPI_ISL_244731	Europe 	 Ukraine
A/Kyiv/944/2016	EPI_ISL_244737	Europe 	 Ukraine
A/Kyiv/957/2016	EPI_ISL_259136	Europe 	 Ukraine
A/Linkoping/2/2016	EPI_ISL_215741	Europe 	 Sweden 
A/Linkoping/5/2016	EPI_ISL_241918	Europe 	 Sweden 
A/Lipetsk/RII779S/2016	EPI_ISL_242649	Europe 	 Russian Federation 
A/Lisboa/niEVA053_16-17/2016	EPI_ISL_333359	Europe 	 Portugal 
A/Lorraine/3611/2016	EPI_ISL_241838	Europe 	 France 
A/Lyon/0412R0150/2016	EPI_ISL_331672	Europe 	 France
A/Lyon/1581/2016	EPI_ISL_331692	Europe 	 France
A/Lyon/1612R0251/2016	EPI_ISL_331695	Europe 	 France
A/Lyon/1712R0193/2016	EPI_ISL_331699	Europe 	 France
A/Lyon/1712R0324/2016	EPI_ISL_331701	Europe 	 France
A/Lyon/2112R0304/2016	EPI_ISL_331707	Europe 	 France
A/Lyon/2312R0281/2016	EPI_ISL_331715	Europe 	 France
A/Lyon/2489/2016	EPI_ISL_331722	Europe 	 France
A/Lyon/2579/2016	EPI_ISL_331723	Europe 	 France
A/Lyon/2712R0049/2016	EPI_ISL_331732	Europe 	 France
A/Lyon/2727/2016	EPI_ISL_331733	Europe 	 France
A/Lyon/2734/2016	EPI_ISL_331734	Europe 	 France
A/Lyon/2739/2016	EPI_ISL_331735	Europe 	 France
A/Lyon/2812R0335/2016	EPI_ISL_331742	Europe 	 France
A/Lyon/2912R0483/2016	EPI_ISL_331747	Europe 	 France
A/LyonCHU/1512R259/2016	EPI_ISL_247488	Europe 	 France 
A/LyonCHU/2212R196/2016	EPI_ISL_247500	Europe 	 France 
A/LyonCHU/2612R144/2016	EPI_ISL_247506	Europe 	 France 
A/LyonCHU/2812R490/2016	EPI_ISL_247517	Europe 	 France 
A/Malmoe/4/2014	EPI_ISL_167959	Europe 	 Sweden 
A/Moscow/104/2015	EPI_ISL_197514	Europe 	 Russian Federation
A/Moscow/124/2016	EPI_ISL_230360	Europe 	 Russian Federation
A/Moscow/134/2015	EPI_ISL_195855	Europe 	 Russian Federation
A/Netherlands/3380/2016	EPI_ISL_240591	Europe 	 Netherlands
A/Netherlands/3455/2016	EPI_ISL_241363	Europe 	 Netherlands
A/Netherlands/3458/2016	EPI_ISL_241364	Europe 	 Netherlands
A/Netherlands/3766/2016	EPI_ISL_241349	Europe 	 Netherlands
A/Netherlands/3789/2016	EPI_ISL_241359	Europe 	 Netherlands
A/Netherlands/3793/2016	EPI_ISL_241362	Europe 	 Netherlands
A/Nord_Pas_de_Calais/2518/2015	EPI_ISL_223858	Europe 	 France 
A/Nord_Pas_de_Calais/3195/2016	EPI_ISL_241812	Europe 	 France 
A/Nord_Pas_de_Calais/3502/2016	EPI_ISL_241829	Europe 	 France 
A/Novosibirsk/64/2015	EPI_ISL_197513	Europe 	 Russian Federation
A/Novy Urengoy/1335/2016	EPI_ISL_253194	Europe 	 Russian Federation
A/Omsk/141/2015	EPI_ISL_200721	Europe 	 Russian Federation
A/Paris/2805/2016	EPI_ISL_237250	Europe 	 France 
A/Paris/2969/2016	EPI_ISL_239153	Europe 	 France 
A/Paris/3119/2016	EPI_ISL_241806	Europe 	 France 
A/Paris/3587/2016	EPI_ISL_241837	Europe 	 France 
A/Pays_de_Loire/3206/2016	EPI_ISL_241814	Europe 	 France 
A/Podporozhye/RII940S/2016	EPI_ISL_242641	Europe 	 Russian Federation 
A/Poitiers/2238/2016	EPI_ISL_247451	Europe 	 France 
A/Poitiers/2240/2016	EPI_ISL_331762	Europe 	 France
A/Rennes/497/2016	EPI_ISL_223860	Europe 	 France 
A/Saint-Petersburg/RII100S/2016	EPI_ISL_242592	Europe 	 Russian Federation 
A/Saint-Petersburg/RII698S/2016	EPI_ISL_242596	Europe 	 Russian Federation 
A/Saint-Petersburg/RII707S/2016	EPI_ISL_242598	Europe 	 Russian Federation 
A/Saint-Petersburg/RII867S/2016	EPI_ISL_242601	Europe 	 Russian Federation 
A/Samara/711/2016	EPI_ISL_256809	Europe 	 Russian Federation 
A/Serbia/NS1010/2015	EPI_ISL_195874	Europe 	 Serbia
A/Simpheropol/RII837S/2016	EPI_ISL_242658	Europe 	 Russian Federation 
A/Skovde/4/2016	EPI_ISL_239535	Europe 	 Sweden 
A/Skovde/5/2015	EPI_ISL_205767	Europe 	 Sweden 
A/St Petersburg/03/2015	EPI_ISL_192166	Europe 	 Russian Federation
A/St Petersburg/22/2015	EPI_ISL_192167	Europe 	 Russian Federation
A/Stockholm/13/2014	EPI_ISL_159401	Europe 	 Sweden 
A/Stockholm/16/2015	EPI_ISL_177062	Europe 	 Sweden 
A/Stockholm/23/2014	EPI_ISL_167958	Europe 	 Sweden 
A/Stockholm/24/2016	EPI_ISL_220447	Europe 	 Sweden 
A/Stockholm/28/2014	EPI_ISL_169258	Europe 	 Sweden 
A/Stockholm/30/2014	EPI_ISL_169838	Europe 	 Sweden 
A/Stockholm/30/2016	EPI_ISL_233407	Europe 	 Sweden 
A/Stockholm/31/2014	EPI_ISL_169839	Europe 	 Sweden 
A/Stockholm/31/2016	EPI_ISL_233408	Europe 	 Sweden 
A/Stockholm/32/2016	EPI_ISL_234034	Europe 	 Sweden 
A/Stockholm/34/2016	EPI_ISL_234037	Europe 	 Sweden 
A/Stockholm/35/2014	EPI_ISL_170840	Europe 	 Sweden 
A/Stockholm/41/2016	EPI_ISL_239537	Europe 	 Sweden 
A/Stockholm/46/2016	EPI_ISL_241906	Europe 	 Sweden 
A/Stockholm/58/2016	EPI_ISL_245019	Europe 	 Sweden 
A/Stockholm/59/2016	EPI_ISL_245021	Europe 	 Sweden 
A/Stockholm/64/2015	EPI_ISL_205783	Europe 	 Sweden 
A/Stockholm/8/2015	EPI_ISL_172930	Europe 	 Sweden 
A/Sweden/1/2015	EPI_ISL_172908	Europe 	 Sweden 
A/Sweden/101/2016	EPI_ISL_253952	Europe 	 Sweden 
A/Sweden/11/2015	EPI_ISL_174020	Europe 	 Sweden 
A/Sweden/17/2015	EPI_ISL_177078	Europe 	 Sweden 
A/Sweden/22/2016	EPI_ISL_220457	Europe 	 Sweden 
A/Sweden/63/2016	EPI_ISL_239545	Europe 	 Sweden 
A/Sweden/65/2016	EPI_ISL_239547	Europe 	 Sweden 
A/Sweden/74/2016	EPI_ISL_241917	Europe 	 Sweden 
A/Sweden/75/2014	EPI_ISL_169261	Europe 	 Sweden 
A/Sweden/78/2016	EPI_ISL_241925	Europe 	 Sweden 
A/Sweden/82/2016	EPI_ISL_241929	Europe 	 Sweden 
A/Sweden/83/2016	EPI_ISL_241930	Europe 	 Sweden 
A/Sweden/87/2016	EPI_ISL_241934	Europe 	 Sweden 
A/Tomsk/RII618S/2016	EPI_ISL_242638	Europe 	 Russian Federation 
A/Tosno/RII718S/2016	EPI_ISL_242640	Europe 	 Russian Federation 
A/Toulon/2291/2016	EPI_ISL_331772	Europe 	 France
A/Ukraine/111/2016	EPI_ISL_232992	Europe 	 Ukraine
A/Umea/4/2016	EPI_ISL_245008	Europe 	 Sweden 
A/Umea/8/2016	EPI_ISL_245012	Europe 	 Sweden 
A/Uppsala/10/2016	EPI_ISL_239530	Europe 	 Sweden 
A/Uppsala/7/2015	EPI_ISL_205790	Europe 	 Sweden 
A/Vasteras/3/2016	EPI_ISL_237515	Europe 	 Sweden 
A/Volgograd/RII759S/2016	EPI_ISL_242648	Europe 	 Russian Federation 
A/Vologda/RII506S/2016	EPI_ISL_242629	Europe 	 Russian Federation 
A/Yekaterinburg/239/2015	EPI_ISL_205181	Europe 	 Russian Federation
A/Alabama/11/2015	EPI_ISL_197785	North America 	 United States 
